,Catania,Milan,Rome
Catania,0.4081933004839888,-0.009375251756415893,0.01020565558972537
Milan,-0.0035379747867680888,0.4707797056061186,0.012368857623547742
Rome,0.017306953384382928,-0.020452121709939288,0.3353372908608627
