,Catania,Milan,Rome
Catania,0.6226190476190476,0.49395833333333333,0.47395224171539957
Milan,0.5547619047619048,0.7220833333333333,0.5226183514341409
Rome,0.5869047619047618,0.591875,0.6598057644110276
