,Catania,Milan,Rome
Catania,0.7083333333333334,0.45562499999999995,0.49879728115022237
Milan,0.4714285714285714,0.6466666666666666,0.5211969403145873
Rome,0.6630952380952382,0.6235416666666665,0.7309611956670781
