,Catania,Milan,Rome
Catania,0.7089477189477189,0.40900525858730197,0.4172826574311907
Milan,0.5003632478632478,0.8352346541639836,0.6026102768907664
Rome,0.5802838827838828,0.7774413887847673,0.7863105139940667
