,Catania,Milan,Rome
Catania,0.742051282051282,0.04625199362041467,0.12632357619467566
Milan,0.058253968253968245,0.7612804739120529,0.5954550982830198
Rome,0.29284271284271285,0.8276412192828975,0.7322306201288502
