Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1),MCC,Balanced Acc,AUROC,Centre,Fold
0.5,1.0,1.0,0.8571428571428571,0.6666666666666666,0.923076923076923,0.6546536707079772,0.9285714285714286,1.0,Catania,0
1.0,0.75,0.9375,1.0,0.967741935483871,0.8571428571428571,0.8385254915624211,0.96875,0.9583333333333334,Milan,0
0.8048780487804879,0.8333333333333334,0.9705882352941176,0.38461538461538464,0.8800000000000001,0.5263157894736842,0.47612497644450014,0.6776018099547512,0.8054298642533936,Rome,0
0.3333333333333333,1.0,1.0,0.75,0.5,0.8571428571428571,0.5,0.875,0.75,Catania,1
0.8888888888888888,1.0,1.0,0.3333333333333333,0.9411764705882353,0.5,0.5443310539518174,0.6666666666666666,1.0,Milan,1
0.8157894736842105,0.75,0.9393939393939394,0.46153846153846156,0.8732394366197183,0.5714285714285714,0.4762807282543458,0.7004662004662006,0.8461538461538461,Rome,1
0.6666666666666666,1.0,1.0,0.8571428571428571,0.8,0.923076923076923,0.7559289460184544,0.9285714285714286,1.0,Catania,2
0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.6041666666666666,0.8020833333333333,0.7916666666666666,Milan,2
0.7948717948717948,0.7142857142857143,0.9393939393939394,0.38461538461538464,0.8611111111111112,0.5,0.40616718276640196,0.662004662004662,0.7529137529137531,Rome,2
0.25,0.8,0.5,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.05976143046671968,0.5357142857142857,0.7857142857142857,Catania,3
0.8421052631578947,0.0,1.0,0.0,0.9142857142857143,0.0,0.0,0.5,0.6458333333333334,Milan,3
0.8823529411764706,0.75,0.9090909090909091,0.6923076923076923,0.8955223880597014,0.7199999999999999,0.6166815826776583,0.8006993006993006,0.8741258741258742,Rome,3
0.0,0.7142857142857143,0.0,0.7142857142857143,0.0,0.7142857142857143,-0.2857142857142857,0.35714285714285715,0.4285714285714286,Catania,4
0.875,0.5,0.9333333333333333,0.3333333333333333,0.9032258064516129,0.4,0.31622776601683794,0.6333333333333333,0.9333333333333333,Milan,4
0.8571428571428571,0.75,0.9090909090909091,0.6428571428571429,0.8823529411764706,0.6923076923076924,0.5788880006133953,0.775974025974026,0.893939393939394,Rome,4
0.6666666666666666,1.0,1.0,0.8571428571428571,0.8,0.923076923076923,0.7559289460184544,0.9285714285714286,0.9285714285714286,Catania,5
0.8823529411764706,1.0,1.0,0.3333333333333333,0.9375,0.5,0.5423261445466404,0.6666666666666666,0.888888888888889,Milan,5
0.8,0.8571428571428571,0.9696969696969697,0.42857142857142855,0.8767123287671234,0.5714285714285714,0.5115850204490008,0.6991341991341992,0.9025974025974025,Rome,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Catania,6
0.8235294117647058,0.0,0.9333333333333333,0.0,0.8749999999999999,0.0,-0.10846522890932808,0.4666666666666667,0.6666666666666666,Milan,6
0.8461538461538461,1.0,1.0,0.5714285714285714,0.9166666666666666,0.7272727272727273,0.6953534953651154,0.7857142857142857,0.8874458874458875,Rome,6
0.3333333333333333,0.8333333333333334,0.5,0.7142857142857143,0.4,0.7692307692307692,0.1889822365046136,0.6071428571428572,0.6428571428571428,Catania,7
0.9333333333333333,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.6,0.8,0.9777777777777777,Milan,7
0.8648648648648649,0.8,0.9411764705882353,0.6153846153846154,0.9014084507042254,0.6956521739130435,0.6083074150578651,0.7782805429864253,0.8981900452488687,Rome,7
0.3333333333333333,1.0,1.0,0.7142857142857143,0.5,0.8333333333333333,0.4879500364742666,0.8571428571428572,0.8571428571428571,Catania,8
0.875,0.5,0.9333333333333333,0.3333333333333333,0.9032258064516129,0.4,0.31622776601683794,0.6333333333333333,0.711111111111111,Milan,8
0.8292682926829268,1.0,1.0,0.46153846153846156,0.9066666666666667,0.631578947368421,0.6186592050616435,0.7307692307692308,0.9095022624434389,Rome,8
0.25,1.0,1.0,0.5714285714285714,0.4,0.7272727272727273,0.3779644730092272,0.7857142857142857,0.8571428571428571,Catania,9
0.875,0.5,0.9333333333333333,0.3333333333333333,0.9032258064516129,0.4,0.31622776601683794,0.6333333333333333,0.7555555555555555,Milan,9
0.8947368421052632,1.0,1.0,0.6923076923076923,0.9444444444444444,0.8181818181818181,0.7870407857160687,0.8461538461538461,0.914027149321267,Rome,9
