,Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1),MCC,Balanced Acc,AUROC
Logistic Regression,"0.849 [0.832, 0.864]","0.656 [0.600, 0.715]","0.823 [0.780, 0.867]","0.684 [0.650, 0.719]","0.835 [0.808, 0.860]","0.665 [0.631, 0.699]","0.505 [0.447, 0.562]","0.754 [0.727, 0.779]","0.829 [0.806, 0.853]"
MLP,"0.786 [0.770, 0.803]","0.724 [0.646, 0.799]","0.911 [0.875, 0.942]","0.465 [0.422, 0.510]","0.843 [0.821, 0.864]","0.562 [0.516, 0.612]","0.437 [0.367, 0.509]","0.688 [0.660, 0.719]","0.768 [0.743, 0.793]"
Random Forest,"0.769 [0.750, 0.787]","0.946 [0.902, 0.986]","0.990 [0.982, 0.998]","0.355 [0.293, 0.418]","0.865 [0.853, 0.878]","0.508 [0.440, 0.577]","0.493 [0.436, 0.551]","0.673 [0.642, 0.705]","0.870 [0.850, 0.892]"
XGBoost,"0.832 [0.823, 0.840]","0.855 [0.807, 0.899]","0.951 [0.929, 0.968]","0.586 [0.560, 0.611]","0.887 [0.877, 0.896]","0.692 [0.673, 0.713]","0.606 [0.574, 0.637]","0.768 [0.756, 0.781]","0.887 [0.870, 0.900]"
