Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1),MCC,Balanced Acc,AUROC,Centre,Fold
0.4,1.0,1.0,0.5714285714285714,0.5714285714285715,0.7272727272727273,0.47809144373375745,0.7857142857142857,0.9285714285714286,Catania,0
0.8,0.1111111111111111,0.5,0.3333333333333333,0.6153846153846154,0.16666666666666666,-0.12171612389003691,0.41666666666666663,0.625,Milan,0
0.46875,0.7333333333333333,0.7894736842105263,0.39285714285714285,0.5882352941176471,0.5116279069767441,0.19195317476733265,0.5911654135338346,0.7255639097744362,Rome,0
0.25,1.0,1.0,0.5714285714285714,0.4,0.7272727272727273,0.3779644730092272,0.7857142857142857,0.7142857142857143,Catania,1
0.8666666666666667,0.25,0.8125,0.3333333333333333,0.8387096774193549,0.28571428571428575,0.1304372986874877,0.5729166666666666,0.6666666666666666,Milan,1
0.4827586206896552,0.7222222222222222,0.7368421052631579,0.4642857142857143,0.5833333333333334,0.5652173913043479,0.2030451919749783,0.6005639097744361,0.6597744360902256,Rome,1
0.25,1.0,1.0,0.5714285714285714,0.4,0.7272727272727273,0.3779644730092272,0.7857142857142857,0.5714285714285714,Catania,2
1.0,0.2727272727272727,0.5,1.0,0.6666666666666666,0.42857142857142855,0.3692744729379982,0.75,0.9166666666666666,Milan,2
0.6666666666666666,0.8260869565217391,0.8,0.7037037037037037,0.7272727272727272,0.76,0.49819857989903904,0.7518518518518519,0.8351851851851851,Rome,2
0.3333333333333333,1.0,1.0,0.7142857142857143,0.5,0.8333333333333333,0.4879500364742666,0.8571428571428572,1.0,Catania,3
1.0,0.5,0.8125,1.0,0.896551724137931,0.6666666666666666,0.6373774391990981,0.90625,0.8958333333333334,Milan,3
0.6153846153846154,0.8095238095238095,0.8,0.6296296296296297,0.6956521739130435,0.7083333333333334,0.4272625062182685,0.7148148148148148,0.7870370370370371,Rome,3
0.25,1.0,1.0,0.625,0.4,0.7692307692307693,0.3952847075210474,0.8125,0.875,Catania,4
1.0,0.25,0.625,1.0,0.7692307692307693,0.4,0.3952847075210474,0.8125,0.9375,Milan,4
0.5555555555555556,0.75,0.75,0.5555555555555556,0.6382978723404256,0.6382978723404256,0.3055555555555556,0.6527777777777778,0.6555555555555556,Rome,4
0.3333333333333333,0.8333333333333334,0.5,0.7142857142857143,0.4,0.7692307692307692,0.1889822365046136,0.6071428571428572,0.7857142857142857,Catania,5
1.0,0.2857142857142857,0.6875,1.0,0.8148148148148148,0.4444444444444445,0.44320263021395917,0.84375,0.96875,Milan,5
0.64,0.8181818181818182,0.8,0.6666666666666666,0.7111111111111111,0.7346938775510203,0.46240478135307145,0.7333333333333334,0.7685185185185184,Rome,5
0.5,1.0,1.0,0.7142857142857143,0.6666666666666666,0.8333333333333333,0.5976143046671968,0.8571428571428572,1.0,Catania,6
1.0,0.5,0.875,1.0,0.9333333333333333,0.6666666666666666,0.6614378277661476,0.9375,1.0,Milan,6
0.6363636363636364,0.76,0.7,0.7037037037037037,0.6666666666666666,0.7307692307692308,0.40001683466257765,0.7018518518518518,0.7722222222222223,Rome,6
0.3333333333333333,1.0,1.0,0.42857142857142855,0.5,0.6,0.3779644730092272,0.7142857142857143,0.9285714285714286,Catania,7
1.0,0.3333333333333333,0.75,1.0,0.8571428571428571,0.5,0.5,0.875,0.96875,Milan,7
0.7391304347826086,0.875,0.85,0.7777777777777778,0.7906976744186046,0.823529411764706,0.6209166124476994,0.8138888888888889,0.825925925925926,Rome,7
0.25,0.8,0.5,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.05976143046671968,0.5357142857142857,0.7142857142857143,Catania,8
1.0,0.2222222222222222,0.5625,1.0,0.72,0.3636363636363636,0.3535533905932738,0.78125,0.875,Milan,8
0.7368421052631579,0.7857142857142857,0.7,0.8148148148148148,0.717948717948718,0.7999999999999999,0.5186711594559221,0.7574074074074073,0.8148148148148148,Rome,8
1.0,0.875,0.5,1.0,0.6666666666666666,0.9333333333333333,0.6614378277661476,0.75,1.0,Catania,9
1.0,0.42857142857142855,0.7333333333333333,1.0,0.846153846153846,0.6,0.5606119105813882,0.8666666666666667,0.8666666666666667,Milan,9
0.5333333333333333,0.8235294117647058,0.8421052631578947,0.5,0.653061224489796,0.6222222222222222,0.34940610086690443,0.6710526315789473,0.674812030075188,Rome,9
