Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1),MCC,Balanced Acc,AUROC,Centre,Fold
0.3333333333333333,1.0,1.0,0.7142857142857143,0.5,0.8333333333333333,0.4879500364742666,0.8571428571428572,1.0,Catania,0
0.8421052631578947,0.0,1.0,0.0,0.9142857142857143,0.0,0.0,0.5,0.9583333333333334,Milan,0
0.723404255319149,0.0,1.0,0.0,0.8395061728395062,0.0,0.0,0.5,0.7194570135746607,Rome,0
0.14285714285714285,1.0,1.0,0.25,0.25,0.4,0.1889822365046136,0.625,1.0,Catania,1
0.8888888888888888,1.0,1.0,0.3333333333333333,0.9411764705882353,0.5,0.5443310539518174,0.6666666666666666,0.8125,Milan,1
0.7619047619047619,0.75,0.9696969696969697,0.23076923076923078,0.8533333333333334,0.3529411764705882,0.3203429453251665,0.6002331002331003,0.8461538461538461,Rome,1
0.6666666666666666,1.0,1.0,0.8571428571428571,0.8,0.923076923076923,0.7559289460184544,0.9285714285714286,1.0,Catania,2
0.8888888888888888,1.0,1.0,0.3333333333333333,0.9411764705882353,0.5,0.5443310539518174,0.6666666666666666,0.8333333333333333,Milan,2
0.7619047619047619,0.75,0.9696969696969697,0.23076923076923078,0.8533333333333334,0.3529411764705882,0.3203429453251665,0.6002331002331003,0.7902097902097903,Rome,2
0.4,1.0,1.0,0.5714285714285714,0.5714285714285715,0.7272727272727273,0.47809144373375745,0.7857142857142857,0.9285714285714286,Catania,3
0.8421052631578947,0.0,1.0,0.0,0.9142857142857143,0.0,0.0,0.5,0.4375,Milan,3
0.8048780487804879,1.0,1.0,0.38461538461538464,0.8918918918918919,0.5555555555555556,0.5563887852034651,0.6923076923076923,0.881118881118881,Rome,3
0.4,1.0,1.0,0.5714285714285714,0.5714285714285715,0.7272727272727273,0.47809144373375745,0.7857142857142857,1.0,Catania,4
0.8823529411764706,1.0,1.0,0.3333333333333333,0.9375,0.5,0.5423261445466404,0.6666666666666666,0.8,Milan,4
0.717391304347826,1.0,1.0,0.07142857142857142,0.8354430379746834,0.13333333333333333,0.22636748005145246,0.5357142857142857,0.8982683982683983,Rome,4
0.3333333333333333,0.8333333333333334,0.5,0.7142857142857143,0.4,0.7692307692307692,0.1889822365046136,0.6071428571428572,0.7142857142857143,Catania,5
0.8823529411764706,1.0,1.0,0.3333333333333333,0.9375,0.5,0.5423261445466404,0.6666666666666666,0.8,Milan,5
0.7021276595744681,0.0,1.0,0.0,0.825,0.0,0.0,0.5,0.8376623376623378,Rome,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Catania,6
0.8333333333333334,0.0,1.0,0.0,0.9090909090909091,0.0,0.0,0.5,0.8222222222222222,Milan,6
0.7857142857142857,1.0,1.0,0.35714285714285715,0.88,0.5263157894736842,0.5297284633639759,0.6785714285714286,0.7878787878787878,Rome,6
0.5,0.8571428571428571,0.5,0.8571428571428571,0.5,0.8571428571428571,0.35714285714285715,0.6785714285714286,0.9285714285714286,Catania,7
0.875,0.5,0.9333333333333333,0.3333333333333333,0.9032258064516129,0.4,0.31622776601683794,0.6333333333333333,0.9333333333333333,Milan,7
0.7727272727272727,1.0,1.0,0.23076923076923078,0.8717948717948718,0.375,0.4222815154866222,0.6153846153846154,0.9004524886877828,Rome,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Catania,8
0.8333333333333334,0.0,1.0,0.0,0.9090909090909091,0.0,0.0,0.5,0.4666666666666667,Milan,8
0.7391304347826086,1.0,1.0,0.07692307692307693,0.85,0.14285714285714288,0.23844535493687,0.5384615384615384,0.8257918552036199,Rome,8
0.3333333333333333,1.0,1.0,0.7142857142857143,0.5,0.8333333333333333,0.4879500364742666,0.8571428571428572,0.8571428571428571,Catania,9
0.8823529411764706,1.0,1.0,0.3333333333333333,0.9375,0.5,0.5423261445466404,0.6666666666666666,0.6444444444444445,Milan,9
0.8095238095238095,1.0,1.0,0.38461538461538464,0.8947368421052632,0.5555555555555556,0.5579922144217707,0.6923076923076923,0.9615384615384616,Rome,9
