Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1),MCC,Balanced Acc,AUROC,Centre,Fold
0.5,1.0,1.0,0.8571428571428571,0.6666666666666666,0.923076923076923,0.6546536707079772,0.9285714285714286,0.8571428571428571,Catania,0
0.9333333333333333,0.5,0.875,0.6666666666666666,0.9032258064516129,0.5714285714285715,0.4844813951249544,0.7708333333333333,0.7083333333333333,Milan,0
0.7804878048780488,0.6666666666666666,0.9411764705882353,0.3076923076923077,0.8533333333333334,0.42105263157894735,0.3335907478273568,0.6244343891402715,0.7805429864253395,Rome,0
0.25,1.0,1.0,0.625,0.4,0.7692307692307693,0.3952847075210474,0.8125,0.875,Catania,1
0.875,0.3333333333333333,0.875,0.3333333333333333,0.875,0.3333333333333333,0.20833333333333334,0.6041666666666666,0.75,Milan,1
0.7777777777777778,0.5,0.8484848484848485,0.38461538461538464,0.8115942028985507,0.4347826086956522,0.2544603402301914,0.6165501165501166,0.7482517482517482,Rome,1
0.3333333333333333,0.8333333333333334,0.5,0.7142857142857143,0.4,0.7692307692307692,0.1889822365046136,0.6071428571428572,0.7142857142857143,Catania,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Milan,2
0.7441860465116279,0.6666666666666666,0.9696969696969697,0.15384615384615385,0.8421052631578948,0.25,0.2252954227280562,0.5617715617715617,0.5501165501165501,Rome,2
0.3333333333333333,1.0,1.0,0.42857142857142855,0.5,0.6,0.3779644730092272,0.7142857142857143,0.7857142857142857,Catania,3
0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.6041666666666666,0.8020833333333333,0.7708333333333333,Milan,3
0.8611111111111112,0.8,0.9393939393939394,0.6153846153846154,0.8985507246376813,0.6956521739130435,0.6056156097478554,0.7773892773892774,0.8741258741258742,Rome,3
0.5,1.0,1.0,0.7142857142857143,0.6666666666666666,0.8333333333333333,0.5976143046671968,0.8571428571428572,0.9285714285714286,Catania,4
0.9285714285714286,0.5,0.8666666666666667,0.6666666666666666,0.896551724137931,0.5714285714285715,0.4780914437337575,0.7666666666666666,0.8666666666666667,Milan,4
0.7142857142857143,0.3333333333333333,0.7575757575757576,0.2857142857142857,0.7352941176470589,0.30769230769230765,0.0454029804402663,0.5216450216450217,0.5541125541125541,Rome,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Catania,5
0.875,0.5,0.9333333333333333,0.3333333333333333,0.9032258064516129,0.4,0.31622776601683794,0.6333333333333333,0.7777777777777777,Milan,5
0.8,0.8571428571428571,0.9696969696969697,0.42857142857142855,0.8767123287671234,0.5714285714285714,0.5115850204490008,0.6991341991341992,0.7251082251082251,Rome,5
0.5,1.0,1.0,0.7142857142857143,0.6666666666666666,0.8333333333333333,0.5976143046671968,0.8571428571428572,0.7142857142857143,Catania,6
0.9333333333333333,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.6,0.8,0.9333333333333333,Milan,6
0.7619047619047619,0.8,0.9696969696969697,0.2857142857142857,0.8533333333333334,0.4210526315789473,0.37883611319363125,0.6277056277056277,0.6731601731601732,Rome,6
0.2,0.75,0.5,0.42857142857142855,0.28571428571428575,0.5454545454545454,-0.05976143046671968,0.4642857142857143,0.5714285714285714,Catania,7
0.8666666666666667,0.3333333333333333,0.8666666666666667,0.3333333333333333,0.8666666666666667,0.3333333333333333,0.2,0.6,0.6888888888888889,Milan,7
0.7948717948717948,0.625,0.9117647058823529,0.38461538461538464,0.8493150684931507,0.4761904761904762,0.35276286732244094,0.6481900452488688,0.7873303167420814,Rome,7
0.0,0.8333333333333334,0.0,0.7142857142857143,0.0,0.7692307692307692,-0.2182178902359924,0.35714285714285715,0.5714285714285714,Catania,8
0.7857142857142857,0.0,0.7333333333333333,0.0,0.7586206896551724,0.0,-0.23904572186687875,0.36666666666666664,0.4444444444444445,Milan,8
0.8,0.7142857142857143,0.9411764705882353,0.38461538461538464,0.8648648648648648,0.5,0.40932883719799373,0.6628959276018099,0.8190045248868778,Rome,8
0.25,1.0,1.0,0.5714285714285714,0.4,0.7272727272727273,0.3779644730092272,0.7857142857142857,0.8571428571428571,Catania,9
0.8823529411764706,1.0,1.0,0.3333333333333333,0.9375,0.5,0.5423261445466404,0.6666666666666666,0.9333333333333333,Milan,9
0.7619047619047619,0.6,0.9411764705882353,0.23076923076923078,0.8421052631578947,0.33333333333333337,0.24945534291796806,0.5859728506787331,0.7737556561085973,Rome,9
